S.No,College Code,College Name,Address
236,2740,Hindusthan Institute of Technology (Autonomous),Othakkalmandapam Post Coimbatore-641032
237,2741,P A College of Engineering and Technology (Autonomous),Palladam Road Pollachi Coimbatore Dt.-642002
238,2743,Dhanalakshmi Srinivasan College of Engineering (CBE),NH-47 Palakkad Main Road Navakkarai Post Coimbatore-641105
239,2744,Adithya Institute of Technology (Autonomous),S.F.No. 348/1 Kurumbapalayam SS Kulam(PO) Coimbatore-641107
240,2745,Kathir College of Engineering (Autonomous),WISDOM TREE Avinashi Road Neelambur Coimbatore-641062
241,2747,Shree Venkateshwara Hi-Tech Engineering College (Autonomous),Erode-Sathy Main Road Sri Kalaivani Nagar Othakuthirai K Mettupalayam (Po) Gobichettipalayam (Tk) Erode (Dt)-638455
242,2748,Surya Engineering College,Perundurai Road Manalmedu Mettukadai Kathirampatti Post Erode-638107
243,2749,Easa College of Engineering and Technology,NH-47 Palakkad main Road Navakkarai Post Coimbatore-641105
244,2750,KIT - Kalaignarkarunanidhi Institute of Technology (Autonomous),S.F.No. 282 Kannampalayam Post Coimbatore-641402
245,2751,KGISL Institute of Technology,365 KGISL Campus Thudiyalur Road Saravanampatti Coimbatore-641035
246,2752,Nandha College of Technology,235 Chennimalaipalayam Road Pitchandampalayam Post Veppampalayam Village Erode-638052
247,2753,PPG Institute of Technology,Rathnagiri Road Saravanampatti Coimbatore-641035
248,2755,Nehru Institute of Technology (Autonomous),Jawahar Gardens Kaliapuram Thirumalayampalayam Coimbatore-641105
249,2758,JKK Munirajah College of Technology (Autonomous),377/1A Punjai Thurayampalayam Thookkanickenpalayam (Post) Gobi (Tk) Erode-638506
250,2761,United Institute of Technology (Autonomous),G.Koundampalayam Periyanaickenpalayam Coimbatore-641020
251,2762,Jansons Institute of Technology (Autonomous),SF.NO.443/1 Karumathampatty Coimbatore-641659
252,2763,Akshaya College of Engineering and Technology,SF No.112/1CPT Bagavathipalayam Road Kinathukadavu Coimbatore-642109
